SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,226934,110,117,274,291,258,271,298,315,37,23,81.514,"166730.000000,0.000288,2.000000,0.000000,0.000552,0.000552:166730.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166730.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,233290,102,110,269,283,288,307,281,300,33,27,83.041,"173734.000000,0.000512,2.000000,0.000000,0.000984,0.000984:173734.000000,1.000000,1.000000,1.000000,0.000000,0.000000:173734.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,229108,402,436,160,185,167,192,175,202,42,54,82.979,"177116.000000,0.000480,2.000000,0.000000,0.000909,0.000909:177116.000000,0.995319,1.000000,0.000000,0.004659,0.004659:177116.000000,0.995319,1.000000,0.000000,0.004659,0.004659"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,231315,396,437,162,190,166,191,183,206,36,57,83.944,"179576.000000,0.000557,2.000000,0.000000,0.001069,0.001069:179576.000000,0.995055,1.000000,0.000000,0.004921,0.004921:179576.000000,0.995055,1.000000,0.000000,0.004921,0.004921"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,232885,379,432,181,209,165,191,162,190,47,66,85.426,"187036.000000,0.000267,2.000000,0.000000,0.000513,0.000513:187036.000000,0.996054,1.000000,0.000000,0.003930,0.003930:187036.000000,0.996054,1.000000,0.000000,0.003930,0.003930"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,242698,365,420,158,186,187,215,174,211,43,73,85.378,"188495.000000,0.000355,2.000000,0.000000,0.000684,0.000684:188495.000000,0.995464,1.000000,0.000000,0.004515,0.004515:188495.000000,0.995464,1.000000,0.000000,0.004515,0.004515"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,241974,400,450,141,174,177,207,178,209,34,70,88.74,"189663.000000,0.000227,3.000000,0.000000,0.000480,0.000480:189663.000000,0.996051,1.000000,0.000000,0.003934,0.003934:189663.000000,0.996051,1.000000,0.000000,0.003934,0.003934"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,240669,405,449,172,202,159,181,160,183,46,58,89.125,"192389.000000,0.000296,4.000000,0.000000,0.000681,0.000681:192389.000000,0.996159,1.000000,0.000000,0.003826,0.003826:192389.000000,0.996159,1.000000,0.000000,0.003826,0.003826"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,233873,107,113,277,297,286,303,259,281,42,29,40.896,"172676.000000,0.003214,4.000000,0.000000,0.005984,0.005984:172676.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172676.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,217539,102,105,290,299,272,282,275,287,46,15,43.02,"165080.000000,0.004362,2.000000,0.000000,0.007977,0.007977:165080.000000,1.000000,1.000000,1.000000,0.000000,0.000000:165080.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,0,1000,226153,121,131,281,297,256,273,271,287,47,24,82.561,"175403.000000,0.000239,3.000000,0.000000,0.000479,0.000479:175403.000000,1.000000,1.000000,1.000000,0.000000,0.000000:175403.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
