SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
OnePlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,226891,383,417,181,206,163,182,180,208,42,51,81.169,"173038.000000,0.000237,2.000000,0.000000,0.000456,0.000456:173038.000000,0.994284,1.000000,0.000000,0.005683,0.005683:173038.000000,0.994284,1.000000,0.000000,0.005683,0.005683:173038.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,229725,350,396,184,216,180,200,177,205,46,63,82.289,"178533.000000,0.000381,2.000000,0.000000,0.000728,0.000728:178533.000000,0.994976,1.000000,0.000000,0.004999,0.004999:178533.000000,0.994976,1.000000,0.000000,0.004999,0.004999:178533.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,233245,364,405,177,201,189,214,176,199,38,56,83.977,"179346.000000,0.000229,3.000000,0.000000,0.000507,0.000507:179346.000000,0.995623,1.000000,0.000000,0.004358,0.004358:179346.000000,0.995623,1.000000,0.000000,0.004358,0.004358:179346.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,230882,373,415,185,211,165,182,189,211,35,53,84.147,"179652.000000,0.000913,3.000000,0.000000,0.002070,0.002070:179652.000000,0.995308,1.000000,0.000000,0.004670,0.004670:179652.000000,0.995308,1.000000,0.000000,0.004670,0.004670:179652.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,227192,368,409,184,200,195,214,167,196,35,51,86.505,"177500.000000,0.000220,3.000000,0.000000,0.000434,0.000434:177500.000000,0.996113,1.000000,0.000000,0.003872,0.003872:177500.000000,0.996113,1.000000,0.000000,0.003872,0.003872:177500.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,240107,369,416,181,208,174,201,158,197,49,69,88.2,"185385.000000,0.000334,3.000000,0.000000,0.000777,0.000777:185385.000000,0.996532,1.000000,0.000000,0.003456,0.003456:185385.000000,0.996532,1.000000,0.000000,0.003456,0.003456:185385.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,240897,434,482,146,176,165,196,155,178,36,64,90.842,"194884.000000,0.000508,3.000000,0.000000,0.001021,0.001021:194884.000000,0.996331,1.000000,0.000000,0.003655,0.003655:194884.000000,0.996331,1.000000,0.000000,0.003655,0.003655:194884.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,254183,426,493,153,185,166,197,142,173,33,80,93.224,"205012.000000,0.000463,6.000000,0.000000,0.001029,0.001029:205012.000000,0.996512,1.000000,0.000000,0.003475,0.003475:205012.000000,0.996512,1.000000,0.000000,0.003475,0.003475:205012.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,223856,374,408,175,206,188,208,181,194,34,48,78.634,"170820.000000,0.000246,2.000000,0.000000,0.000468,0.000468:170820.000000,0.994000,1.000000,0.000000,0.005964,0.005964:170820.000000,0.994000,1.000000,0.000000,0.005964,0.005964:170820.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,237253,322,365,197,227,180,206,205,239,31,65,79.244,"173637.000000,0.000438,2.000000,0.000000,0.000841,0.000841:173637.000000,0.993774,1.000000,0.000000,0.006187,0.006187:173637.000000,0.993774,1.000000,0.000000,0.006187,0.006187:173637.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
