SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
OnePlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,232950,379,409,156,176,177,209,180,213,53,55,81.419,"173608.000000,0.004314,687.000000,0.000000,2.719505,2.719520:173608.000000,0.994459,1.000000,0.000000,0.005511,0.005511:173608.000000,0.994459,1.000000,0.000000,0.005511,0.005511:173608.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,0,1000,232596,359,394,173,199,186,215,171,206,51,60,81.968,"174586.000000,0.005699,609.000000,0.000000,2.128792,2.128804:174586.000000,0.994547,1.000000,0.000000,0.005423,0.005423:174586.000000,0.994547,1.000000,0.000000,0.005423,0.005423:174586.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,225400,115,121,286,297,280,295,268,279,32,19,80.877,"170827.000000,0.003951,557.000000,0.000000,1.817724,1.817735:170827.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170827.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170827.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,0,1000,221893,113,118,270,282,313,320,259,270,29,16,81.299,"172306.000000,0.004834,670.000000,0.000000,2.607379,2.607394:172306.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172306.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172306.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,221671,122,126,258,267,274,285,291,305,38,17,82.481,"166670.000000,0.004194,599.000000,0.000000,2.154413,2.154426:166670.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166670.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166670.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,0,1000,227115,124,135,269,285,250,268,289,302,42,26,83.351,"170408.000000,0.004530,596.000000,0.000000,2.087628,2.087640:170408.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170408.000000,1.000000,1.000000,1.000000,0.000000,0.000000:170408.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-4,/data/model-dummy-4/onnx,0,1000,173884,1,1,300,318,316,336,320,335,38,25,5.991,"15521.000000,0.051092,779.000000,0.000000,39.098156,39.100676:15521.000000,0.883255,1.000000,0.000000,0.103116,0.103122:15521.000000,0.883255,1.000000,0.000000,0.103116,0.103122:15521.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-4,/data/model-dummy-4/onnx,0,1000,167112,0,0,344,356,306,319,302,316,29,19,7.06,"15397.000000,0.045074,672.000000,0.000000,29.331735,29.333640:15397.000000,0.886147,1.000000,0.000000,0.100891,0.100897:15397.000000,0.886147,1.000000,0.000000,0.100891,0.100897:15397.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-3,/data/model-dummy-3/onnx,0,1000,223193,123,130,263,274,273,283,282,297,40,19,76.409,"169504.000000,0.004212,499.000000,0.000000,1.471487,1.471496:169504.000000,1.000000,1.000000,1.000000,0.000000,0.000000:169504.000000,1.000000,1.000000,1.000000,0.000000,0.000000:169504.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,dummy-3,/data/model-dummy-3/onnx,0,1000,218040,116,121,285,298,293,308,263,277,24,19,74.648,"161957.000000,0.004581,552.000000,0.000000,1.884158,1.884170:161957.000000,1.000000,1.000000,1.000000,0.000000,0.000000:161957.000000,1.000000,1.000000,1.000000,0.000000,0.000000:161957.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,50,1000,229770,488,491,99,106,106,115,112,120,182,13,1469.61,"199791.000000,6.820267,666.000000,1.000000,4.235121,4.235142:199791.000000,52.783304,79.000000,0.000000,45.795578,45.795807:199791.000000,5.354210,21.000000,1.000000,2.161215,2.161226:199791.000000,5.605087,21.000000,2.000000,2.295075,2.295087"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,50,1000,246163,497,504,107,125,97,109,92,104,183,24,1533.53,"212849.000000,6.667313,633.000000,1.000000,3.942174,3.942193:212849.000000,52.913925,79.000000,0.000000,41.604518,41.604713:212849.000000,5.290427,19.000000,1.000000,2.085252,2.085261:212849.000000,5.521901,19.000000,2.000000,2.233688,2.233698"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,50,1000,231094,592,595,88,93,77,80,90,96,145,8,1494.98,"216899.000000,6.358886,855.000000,1.000000,5.235587,5.235611:216899.000000,52.316806,77.000000,0.000000,68.999219,68.999537:216899.000000,4.984006,18.000000,1.000000,2.269579,2.269590:216899.000000,5.240356,18.000000,1.000000,2.484006,2.484018"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,50,1000,233209,487,492,94,98,104,108,121,131,183,11,1495.55,"203030.000000,6.831557,734.000000,0.000000,4.664298,4.664321:203030.000000,52.842304,76.000000,0.000000,44.980919,44.981141:203030.000000,5.234335,19.000000,1.000000,2.064572,2.064582:203030.000000,5.473639,19.000000,2.000000,2.232805,2.232816"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,50,1000,229028,636,638,82,87,68,73,72,75,135,7,1579.95,"216566.000000,6.761865,601.000000,1.000000,3.853185,3.853203:216566.000000,52.269036,78.000000,0.000000,69.004982,69.005300:216566.000000,5.066298,21.000000,1.000000,2.400636,2.400647:216566.000000,5.330329,21.000000,1.000000,2.621468,2.621481"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,50,1000,253154,527,537,96,105,104,115,84,96,168,21,1592.29,"220418.000000,6.689785,693.000000,1.000000,4.000760,4.000778:220418.000000,53.094275,79.000000,0.000000,39.770613,39.770793:220418.000000,5.100101,18.000000,1.000000,1.681629,1.681637:220418.000000,5.324184,18.000000,2.000000,1.807816,1.807824"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,50,1000,234158,653,658,78,81,65,73,61,64,134,9,1615.76,"222704.000000,6.722057,764.000000,1.000000,4.731575,4.731596:222704.000000,52.361206,77.000000,0.000000,68.124999,68.125305:222704.000000,4.985950,18.000000,1.000000,2.144394,2.144403:222704.000000,5.238056,18.000000,1.000000,2.320790,2.320800"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,50,1000,235560,590,596,67,73,92,97,78,84,162,11,1635.41,"219862.000000,6.904049,549.000000,1.000000,3.651808,3.651825:219862.000000,52.238181,77.000000,0.000000,68.151841,68.152151:219862.000000,5.137855,20.000000,1.000000,2.475111,2.475122:219862.000000,5.408006,20.000000,1.000000,2.699997,2.700010"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,50,1000,195410,129,129,282,293,256,271,263,276,51,19,760.207,"121499.000000,5.713849,773.000000,0.000000,6.292631,6.292683:121499.000000,53.131968,79.000000,0.000000,108.780023,108.780918:121499.000000,3.550482,9.000000,1.000000,0.563487,0.563492:121499.000000,3.680812,9.000000,2.000000,0.477572,0.477576"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,50,1000,198499,139,139,264,286,255,272,258,278,57,27,741.807,"116121.000000,5.842759,746.000000,1.000000,6.129657,6.129710:116121.000000,53.254769,80.000000,0.000000,97.235857,97.236694:116121.000000,3.544225,12.000000,1.000000,0.532558,0.532562:116121.000000,3.667674,15.000000,2.000000,0.473382,0.473386"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,50,1000,200820,123,123,255,272,274,288,259,272,67,22,738.23,"115715.000000,5.834386,713.000000,1.000000,5.829237,5.829288:115715.000000,53.182578,79.000000,0.000000,108.713371,108.714310:115715.000000,3.552184,12.000000,1.000000,0.555482,0.555487:115715.000000,3.681459,13.000000,2.000000,0.473064,0.473068"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,50,1000,230018,404,405,150,155,136,144,148,158,150,12,1276.65,"206672.000000,5.642767,733.000000,1.000000,3.861469,3.861488:206672.000000,53.230757,79.000000,0.000000,85.240081,85.240493:206672.000000,3.519470,9.000000,1.000000,0.515791,0.515794:206672.000000,3.639709,10.000000,1.000000,0.557792,0.557795"
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,50,1000,224068,397,397,132,136,140,143,161,166,164,6,1276.14,"201229.000000,5.806052,805.000000,0.000000,4.415589,4.415611:201229.000000,53.021433,79.000000,0.000000,85.742853,85.743279:201229.000000,3.512968,9.000000,1.000000,0.513333,0.513335:201229.000000,3.644758,10.000000,1.000000,0.557338,0.557341"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,50,1000,230133,390,391,137,145,153,158,160,166,150,10,1256.91,"204373.000000,5.615805,831.000000,1.000000,4.701729,4.701752:204373.000000,53.228841,79.000000,0.000000,84.070109,84.070520:204373.000000,3.487330,9.000000,1.000000,0.504032,0.504034:204373.000000,3.614592,10.000000,1.000000,0.550990,0.550993"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,50,1000,236918,471,478,103,114,104,112,120,130,184,18,1503.81,"202343.000000,6.894348,791.000000,1.000000,5.062025,5.062050:202343.000000,52.760476,77.000000,0.000000,46.536956,46.537186:202343.000000,5.329189,20.000000,1.000000,2.157683,2.157694:202343.000000,5.579219,20.000000,2.000000,2.312074,2.312085"
TwoPlayer,false,dummy-3,/data/model-dummy-3/onnx,50,1000,206237,129,129,248,271,270,294,269,286,55,29,699.541,"122235.000000,5.178729,675.000000,1.000000,4.724345,4.724384:122235.000000,53.486865,79.000000,0.000000,99.663858,99.664673:122235.000000,3.536598,9.000000,1.000000,0.527615,0.527619:122235.000000,3.666446,10.000000,2.000000,0.461491,0.461495"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,50,1000,232518,597,600,76,87,88,94,83,94,142,14,1613.53,"214782.000000,6.978713,791.000000,1.000000,5.182113,5.182138:214782.000000,52.212904,75.000000,0.000000,68.605099,68.605418:214782.000000,5.159147,22.000000,1.000000,2.557021,2.557033:214782.000000,5.426912,22.000000,1.000000,2.755390,2.755403"
TwoPlayer,false,dummy-4,/data/model-dummy-4/onnx,50,1000,194019,137,137,301,312,233,251,259,275,48,22,689.381,"121425.000000,5.137525,735.000000,1.000000,5.446049,5.446094:121425.000000,53.156335,79.000000,0.000000,109.211277,109.212176:121425.000000,3.553379,12.000000,1.000000,0.558816,0.558821:121425.000000,3.683854,15.000000,2.000000,0.470890,0.470894"
OnePlayer,false,dummy-3,/data/model-dummy-3/onnx,50,1000,230576,388,388,128,133,152,155,143,149,182,7,1241.34,"211313.000000,5.340973,729.000000,1.000000,3.682614,3.682631:211313.000000,53.306029,79.000000,0.000000,81.451447,81.451833:211313.000000,3.487731,10.000000,1.000000,0.499896,0.499898:211313.000000,3.614917,11.000000,1.000000,0.551853,0.551855"
OnePlayer,false,dummy-4,/data/model-dummy-4/onnx,50,1000,228558,385,386,138,143,129,136,159,161,182,7,1252.89,"207464.000000,5.505158,760.000000,0.000000,4.016420,4.016439:207464.000000,53.279085,79.000000,0.000000,83.132944,83.133344:207464.000000,3.515236,9.000000,1.000000,0.511481,0.511483:207464.000000,3.622937,10.000000,1.000000,0.545601,0.545603"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,100,1000,222023,707,708,56,59,64,68,56,60,112,5,1894.12,"213127.000000,8.354803,705.000000,1.000000,5.837104,5.837132:213127.000000,102.321883,129.000000,0.000000,292.191633,292.193004:213127.000000,6.776030,22.000000,1.000000,3.833156,3.833174:213127.000000,7.300234,23.000000,1.000000,4.153038,4.153058"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,100,1000,251782,634,641,62,67,66,75,64,71,161,13,2071.77,"232987.000000,8.358419,735.000000,1.000000,5.250389,5.250412:232987.000000,104.150013,129.000000,0.000000,132.697481,132.698050:232987.000000,7.053634,25.000000,1.000000,3.444269,3.444283:232987.000000,7.497290,25.000000,2.000000,3.618352,3.618368"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,100,1000,226790,641,645,58,65,65,73,80,86,144,12,1951.36,"215484.000000,8.522865,866.000000,1.000000,6.817881,6.817913:215484.000000,102.096374,128.000000,0.000000,287.765354,287.766690:215484.000000,6.899765,23.000000,1.000000,3.960823,3.960842:215484.000000,7.435090,23.000000,1.000000,4.239652,4.239671"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,100,1000,244990,585,598,68,75,62,68,79,93,186,20,2006.14,"226317.000000,8.330528,838.000000,1.000000,5.833460,5.833486:226317.000000,103.964563,128.000000,0.000000,138.546825,138.547437:226317.000000,7.155371,23.000000,1.000000,3.441145,3.441161:226317.000000,7.610321,23.000000,2.000000,3.560028,3.560044"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,100,1000,236630,695,698,63,67,69,74,62,67,103,8,1989.89,"222907.000000,8.394142,749.000000,1.000000,5.716522,5.716548:222907.000000,102.305518,129.000000,0.000000,294.029894,294.031213:222907.000000,6.676291,22.000000,1.000000,3.314275,3.314290:222907.000000,7.177886,22.000000,1.000000,3.496438,3.496454"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,100,1000,220515,682,685,58,62,53,58,71,73,129,7,1878.77,"209986.000000,8.415099,749.000000,1.000000,6.063818,6.063847:209986.000000,102.291824,128.000000,0.000000,295.293354,295.294761:209986.000000,6.690775,23.000000,1.000000,3.634862,3.634879:209986.000000,7.218876,25.000000,1.000000,3.916248,3.916266"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,100,1000,244025,614,619,74,81,72,78,58,66,170,12,2011.16,"226854.000000,8.332253,803.000000,1.000000,5.708042,5.708067:226854.000000,104.256579,130.000000,0.000000,138.973505,138.974118:226854.000000,6.942972,25.000000,1.000000,3.238476,3.238490:226854.000000,7.377631,25.000000,2.000000,3.386365,3.386380"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,100,1000,265801,648,656,76,83,73,79,69,73,122,12,2121.69,"243763.000000,8.169517,815.000000,0.000000,5.193607,5.193628:243763.000000,104.546260,129.000000,0.000000,124.086080,124.086589:243763.000000,6.787146,24.000000,1.000000,2.479695,2.479705:243763.000000,7.222228,24.000000,2.000000,2.549684,2.549695"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,100,1000,199602,151,151,266,279,269,282,233,250,61,20,933.862,"124896.000000,6.934065,681.000000,1.000000,5.733955,5.734001:124896.000000,103.605424,129.000000,0.000000,429.961951,429.965394:124896.000000,5.094479,15.000000,1.000000,0.948030,0.948038:124896.000000,5.465339,16.000000,2.000000,0.509944,0.509948"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,100,1000,196056,172,172,252,264,254,269,227,242,75,20,955.615,"127417.000000,6.956701,745.000000,1.000000,6.129811,6.129859:127417.000000,104.220159,129.000000,0.000000,357.292419,357.295223:127417.000000,5.106195,12.000000,1.000000,0.816077,0.816083:127417.000000,5.461296,12.000000,2.000000,0.510225,0.510229"
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,100,1000,211538,425,426,138,148,139,146,126,132,161,11,1376.49,"186585.000000,6.843439,745.000000,1.000000,4.296865,4.296888:186585.000000,104.521500,130.000000,0.000000,316.895067,316.896765:186585.000000,5.129458,12.000000,1.000000,0.775893,0.775897:186585.000000,5.466951,13.000000,1.000000,0.782230,0.782235"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,100,1000,215176,472,472,122,125,126,126,128,131,149,3,1526.25,"194052.000000,7.331066,873.000000,0.000000,5.512971,5.512999:194052.000000,104.460846,129.000000,0.000000,311.259835,311.261439:194052.000000,5.133840,11.000000,1.000000,0.781099,0.781103:194052.000000,5.461026,13.000000,1.000000,0.780596,0.780600"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,100,1000,198577,165,166,228,243,250,265,264,281,69,24,934.905,"125003.000000,6.936442,764.000000,0.000000,6.564643,6.564695:125003.000000,103.570842,129.000000,0.000000,429.628596,429.632033:125003.000000,5.112069,12.000000,1.000000,0.950913,0.950921:125003.000000,5.490444,13.000000,2.000000,0.505487,0.505491"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,100,1000,221408,674,678,65,70,57,63,65,67,131,8,1892.75,"209488.000000,8.500339,816.000000,1.000000,6.818090,6.818122:209488.000000,101.946942,129.000000,0.000000,295.100823,295.102232:209488.000000,6.940994,23.000000,1.000000,4.185298,4.185318:209488.000000,7.478142,23.000000,1.000000,4.477163,4.477184"
TwoPlayer,false,sl-4,/data/model-sl-4/onnx,100,1000,246143,595,601,69,76,72,77,72,76,181,11,1998.33,"226385.000000,8.294282,873.000000,1.000000,6.351400,6.351428:226385.000000,103.863578,128.000000,0.000000,142.471130,142.471759:226385.000000,7.103271,25.000000,1.000000,3.474517,3.474533:226385.000000,7.554352,26.000000,2.000000,3.562654,3.562670"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,100,1000,215914,425,426,135,140,155,158,138,141,141,6,1472.46,"191627.000000,7.149692,784.000000,1.000000,4.806343,4.806368:191627.000000,104.584740,129.000000,0.000000,319.974746,319.976416:191627.000000,5.152405,11.000000,1.000000,0.780120,0.780124:191627.000000,5.466312,11.000000,1.000000,0.779730,0.779734"
TwoPlayer,false,dummy-3,/data/model-dummy-3/onnx,100,1000,195528,173,173,237,250,230,235,264,279,80,16,977.509,"131043.000000,6.917790,769.000000,0.000000,6.282238,6.282286:131043.000000,104.199347,129.000000,0.000000,373.504571,373.507421:131043.000000,5.114596,12.000000,1.000000,0.849295,0.849301:131043.000000,5.458437,12.000000,2.000000,0.494650,0.494653"
TwoPlayer,false,dummy-4,/data/model-dummy-4/onnx,100,1000,186930,149,149,259,266,248,262,258,271,69,17,911.604,"121400.000000,6.970470,871.000000,1.000000,8.079845,8.079911:121400.000000,103.500560,129.000000,0.000000,445.466639,445.470308:121400.000000,5.100437,12.000000,1.000000,0.982705,0.982713:121400.000000,5.478089,12.000000,2.000000,0.513737,0.513742"
OnePlayer,false,dummy-3,/data/model-dummy-3/onnx,100,1000,220832,409,409,136,144,133,137,121,127,192,9,1524.91,"198227.000000,7.159423,830.000000,1.000000,5.024290,5.024315:198227.000000,104.434870,129.000000,0.000000,316.251287,316.252883:198227.000000,5.110308,12.000000,1.000000,0.777069,0.777073:198227.000000,5.439229,14.000000,1.000000,0.772966,0.772970"
OnePlayer,false,dummy-4,/data/model-dummy-4/onnx,100,1000,223319,461,461,132,136,118,126,120,128,159,10,1502.19,"201822.000000,6.911199,731.000000,0.000000,4.179408,4.179429:201822.000000,104.858241,129.000000,0.000000,302.027422,302.028918:201822.000000,5.157644,12.000000,1.000000,0.766450,0.766453:201822.000000,5.466981,13.000000,1.000000,0.770181,0.770185"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,250,1000,212360,755,757,38,41,57,58,56,58,90,4,2762.87,"203494.000000,13.044257,809.000000,1.000000,10.032627,10.032676:203494.000000,243.834791,279.000000,0.000000,2307.949251,2307.960592:203494.000000,11.002324,81.000000,1.000000,9.868153,9.868201:203494.000000,12.223029,81.000000,1.000000,9.291570,9.291616"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,250,1000,214758,776,778,44,51,51,60,36,42,81,12,2784.35,"201634.000000,13.276466,796.000000,1.000000,10.021987,10.022037:201634.000000,243.587718,280.000000,0.000000,2305.577933,2305.589368:201634.000000,11.269840,36.000000,1.000000,10.271954,10.272005:201634.000000,12.495179,42.000000,1.000000,9.500401,9.500448"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,250,1000,248633,798,807,37,40,29,33,29,33,97,10,3254.56,"240195.000000,13.016999,805.000000,1.000000,8.324252,8.324286:240195.000000,253.177373,279.000000,0.000000,626.238794,626.241402:240195.000000,11.635688,51.000000,1.000000,9.685058,9.685098:240195.000000,12.682949,53.000000,2.000000,9.177107,9.177146"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,250,1000,212822,786,790,49,55,42,47,49,54,64,10,2713.87,"200628.000000,12.994029,805.000000,1.000000,9.380878,9.380925:200628.000000,244.494627,279.000000,0.000000,2188.849190,2188.860100:200628.000000,10.778635,33.000000,1.000000,8.260316,8.260357:200628.000000,11.958097,33.000000,1.000000,7.546956,7.546994"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,250,1000,210852,778,781,41,46,38,45,43,49,90,10,2688.36,"199938.000000,12.913328,820.000000,1.000000,10.077779,10.077830:199938.000000,244.178775,279.000000,0.000000,2258.007652,2258.018945:199938.000000,10.776056,79.000000,1.000000,9.301263,9.301309:199938.000000,12.017620,79.000000,1.000000,8.706794,8.706837"
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,250,1000,254497,797,808,33,35,32,36,24,31,102,12,3396.99,"248200.000000,13.154658,822.000000,1.000000,8.205267,8.205300:248200.000000,253.128646,279.000000,0.000000,640.786359,640.788941:248200.000000,11.845624,39.000000,1.000000,8.820536,8.820571:248200.000000,12.878852,40.000000,2.000000,7.875319,7.875351"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,250,1000,263581,812,827,35,39,22,25,28,38,87,16,3380.51,"255384.000000,12.704316,886.000000,1.000000,7.299678,7.299707:255384.000000,253.804573,280.000000,0.000000,597.320206,597.322545:255384.000000,11.202695,36.000000,1.000000,6.310828,6.310853:255384.000000,12.203811,36.000000,2.000000,5.505214,5.505236"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,250,1000,240929,805,813,16,20,34,42,23,29,109,13,3091.2,"231472.000000,12.823102,845.000000,1.000000,8.299758,8.299794:231472.000000,253.157302,279.000000,0.000000,672.261446,672.264351:231472.000000,11.326078,51.000000,1.000000,8.353072,8.353108:231472.000000,12.391918,54.000000,2.000000,7.695220,7.695253"
TwoPlayer,false,dummy-0,/data/model-dummy-0/onnx,250,1000,200728,167,168,250,263,258,281,215,241,79,31,1323.93,"115601.000000,10.909473,685.000000,0.000000,9.568046,9.568128:115601.000000,243.446579,280.000000,0.000000,2984.211731,2984.237546:115601.000000,7.828254,16.000000,1.000000,3.691440,3.691472:115601.000000,9.750244,17.000000,2.000000,1.365430,1.365442"
TwoPlayer,false,dummy-1,/data/model-dummy-1/onnx,250,1000,191271,164,164,255,266,240,252,256,270,67,18,1309.78,"114069.000000,10.940010,794.000000,0.000000,10.974765,10.974861:114069.000000,243.773365,279.000000,0.000000,2922.326373,2922.351992:114069.000000,7.729646,17.000000,1.000000,3.749218,3.749251:114069.000000,9.722975,18.000000,2.000000,1.350586,1.350598"
OnePlayer,false,sl-4,/data/model-sl-4/onnx,250,1000,212534,746,748,37,44,47,50,58,63,104,8,2738.98,"201090.000000,13.086852,746.000000,1.000000,9.440977,9.441024:201090.000000,243.687269,279.000000,0.000000,2270.803781,2270.815073:201090.000000,11.123596,37.000000,1.000000,10.200488,10.200539:201090.000000,12.326898,39.000000,1.000000,9.567641,9.567689"
OnePlayer,false,dummy-0,/data/model-dummy-0/onnx,250,1000,211408,512,512,117,127,132,137,123,134,104,12,2233.48,"186676.000000,11.429557,878.000000,1.000000,7.924075,7.924118:186676.000000,246.527390,279.000000,0.000000,2137.070577,2137.082025:186676.000000,8.135159,17.000000,1.000000,3.169389,3.169406:186676.000000,9.947069,17.000000,1.000000,2.668924,2.668938"
TwoPlayer,false,dummy-2,/data/model-dummy-2/onnx,250,1000,196241,176,176,239,259,232,252,266,280,61,26,1284.66,"113299.000000,10.794429,780.000000,0.000000,10.991245,10.991342:113299.000000,243.132543,279.000000,0.000000,3093.568033,3093.595338:113299.000000,7.848083,18.000000,1.000000,3.771006,3.771039:113299.000000,9.822311,18.000000,2.000000,1.328492,1.328503"
