SearchMode,TerminalSolver,ModelName,ModelPath,Simulations,Episodes,TotalSteps,Wins0,Alive0,Wins1,Alive1,Wins2,Alive2,Wins3,Alive3,Draws,NotDone,Time,EvalInfo
TwoPlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,226404,385,422,178,208,188,204,165,188,33,51,83.354,"177758.000000,0.004174,613.000000,0.000000,2.115769,2.115781:177758.000000,0.995584,1.000000,0.000000,0.004397,0.004397:177758.000000,0.995584,1.000000,0.000000,0.004397,0.004397:177758.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,227533,375,417,177,203,178,197,173,195,44,53,84.275,"179628.000000,0.004125,575.000000,0.000000,1.842752,1.842763:179628.000000,0.995352,1.000000,0.000000,0.004627,0.004627:179628.000000,0.995352,1.000000,0.000000,0.004627,0.004627:179628.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-0,/data/model-sl-0/onnx,0,1000,234475,375,415,204,226,148,172,175,210,38,60,84.13,"178445.000000,0.004847,667.000000,0.000000,2.496191,2.496205:178445.000000,0.994054,1.000000,0.000000,0.005910,0.005910:178445.000000,0.994054,1.000000,0.000000,0.005910,0.005910:178445.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-1,/data/model-sl-1/onnx,0,1000,239791,395,444,179,210,157,196,168,190,32,69,84.341,"181692.000000,0.004381,671.000000,0.000000,2.479496,2.479509:181692.000000,0.995977,1.000000,0.000000,0.004007,0.004007:181692.000000,0.995977,1.000000,0.000000,0.004007,0.004007:181692.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,231375,407,448,156,183,161,185,174,196,46,56,84.914,"181289.000000,0.004407,558.000000,0.000000,1.720355,1.720365:181289.000000,0.995830,1.000000,0.000000,0.004153,0.004153:181289.000000,0.995830,1.000000,0.000000,0.004153,0.004153:181289.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,240164,378,421,168,207,180,210,153,191,47,74,87.477,"178903.000000,0.004097,581.000000,0.000000,1.888733,1.888744:178903.000000,0.996562,1.000000,0.000000,0.003426,0.003426:178903.000000,0.996562,1.000000,0.000000,0.003426,0.003426:178903.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,sl-2,/data/model-sl-2/onnx,0,1000,242967,405,447,152,189,187,214,158,181,34,64,87.017,"191014.000000,0.004460,677.000000,0.000000,2.402076,2.402089:191014.000000,0.995885,1.000000,0.000000,0.004098,0.004098:191014.000000,0.995885,1.000000,0.000000,0.004098,0.004098:191014.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
TwoPlayer,false,sl-3,/data/model-sl-3/onnx,0,1000,236742,361,413,173,204,173,201,172,202,52,69,88.779,"185251.000000,0.004248,619.000000,0.000000,2.070864,2.070875:185251.000000,0.996551,1.000000,0.000000,0.003437,0.003437:185251.000000,0.996551,1.000000,0.000000,0.003437,0.003437:185251.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-2,/data/model-dummy-2/onnx,0,1000,223047,130,138,246,261,288,298,278,293,36,22,78.647,"166605.000000,0.004039,521.000000,0.000000,1.631597,1.631607:166605.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166605.000000,1.000000,1.000000,1.000000,0.000000,0.000000:166605.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
OnePlayer,false,dummy-1,/data/model-dummy-1/onnx,0,1000,231001,133,140,269,290,295,316,238,260,32,33,79.74,"172009.000000,0.004645,646.000000,0.000000,2.428253,2.428267:172009.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172009.000000,1.000000,1.000000,1.000000,0.000000,0.000000:172009.000000,1.000000,1.000000,1.000000,0.000000,0.000000"
